864,4041395142
865,4044491973
866,4047570948
867,4050632039
868,4053675218
869,4056700454
870,4059707720
871,4062696988
872,4065668228
873,4068621414
874,4071556518
875,4074473512
876,4077372367
877,4080253059
878,4083115558
879,4085959838
880,4088785872
881,4091593635
882,4094383098
883,4097154237
884,4099907024
885,4102641435
886,4105357443
887,4108055023
888,4110734149
889,4113394796
890,4116036939
891,4118660554
892,4121265615
893,4123852098
894,4126419978
895,4128969233
896,4131499836
897,4134011766
898,4136504997
899,4138979507
900,4141435272
901,4143872270
902,4146290477
903,4148689870
904,4151070427
905,4153432125
906,4155774943
907,4158098858
908,4160403848
909,4162689892
910,4164956968
911,4167205055
912,4169434131
913,4171644176
914,4173835169
915,4176007089
916,4178159916
917,4180293630
918,4182408209
919,4184503636
920,4186579889
921,4188636949
922,4190674797
923,4192693414
924,4194692781
925,4196672878
926,4198633688
927,4200575192
928,4202497371
929,4204400207
930,4206283683
931,4208147781
932,4209992483
933,4211817772
934,4213623631
935,4215410042
936,4217176989
937,4218924456
938,4220652425
939,4222360881
940,4224049807
941,4225719188
942,4227369008
943,4228999251
944,4230609902
945,4232200946
946,4233772367
947,4235324152
948,4236856285
949,4238368753
950,4239861540
951,4241334632
952,4242788017
953,4244221680
954,4245635607
955,4247029786
956,4248404204
957,4249758846
958,4251093701
959,4252408757
960,4253703999
961,4254979418
962,4256234999
963,4257470733
964,4258686606
965,4259882608
966,4261058727
967,4262214953
968,4263351273
969,4264467679
970,4265564158
971,4266640702
972,4267697299
973,4268733939
974,4269750614
975,4270747313
976,4271724028
977,4272680748
978,4273617465
979,4274534170
980,4275430854
981,4276307509
982,4277164127
983,4278000700
984,4278817219
985,4279613677
986,4280390067
987,4281146382
988,4281882613
989,4282598755
990,4283294800
991,4283970742
992,4284626575
993,4285262292
994,4285877887
995,4286473355
996,4287048690
997,4287603887
998,4288138940
999,4288653845
1000,4289148596
1001,4289623188
1002,4290077618
1003,4290511882
1004,4290925974
1005,4291319891
1006,4291693630
1007,4292047186
1008,4292380557
1009,4292693740
1010,4292986731
1011,4293259528
1012,4293512127
1013,4293744528
1014,4293956727
1015,4294148723
1016,4294320514
1017,4294472097
1018,4294603473
1019,4294714639
1020,4294805594
1021,4294876338
1022,4294926870
1023,4294957189
1024,4294967296
1025,4294957189
1026,4294926870
1027,4294876338
1028,4294805594
1029,4294714639
1030,4294603473
1031,4294472097
1032,4294320514
1033,4294148723
1034,4293956727
1035,4293744528
1036,4293512127
1037,4293259528
1038,4292986731
1039,4292693740
1040,4292380557
1041,4292047186
1042,4291693630
1043,4291319891
1044,4290925974
1045,4290511882
1046,4290077618
1047,4289623188
1048,4289148596
1049,4288653845
1050,4288138940
1051,4287603887
1052,4287048690
1053,4286473355
1054,4285877887
1055,4285262292
1056,4284626575
1057,4283970742
1058,4283294800
1059,4282598755
1060,4281882613
1061,4281146382
1062,4280390067
1063,4279613677
1064,4278817219
1065,4278000700
1066,4277164127
1067,4276307509
1068,4275430854
1069,4274534170
1070,4273617465
1071,4272680748
1072,4271724028
1073,4270747313
1074,4269750614
1075,4268733939
1076,4267697299
1077,4266640702
1078,4265564158
1079,4264467679
1080,4263351273
1081,4262214953
1082,4261058727
1083,4259882608
1084,4258686606
1085,4257470733
1086,4256234999
1087,4254979418
1088,4253703999
1089,4252408757
1090,4251093701
1091,4249758846
1092,4248404204
1093,4247029786
1094,4245635607
1095,4244221680
1096,4242788017
1097,4241334632
1098,4239861540
1099,4238368753
1100,4236856285
1101,4235324152
1102,4233772367
1103,4232200946
1104,4230609902
1105,4228999251
1106,4227369008
1107,4225719188
1108,4224049807
1109,4222360881
1110,4220652425
1111,4218924456
1112,4217176989
1113,4215410042
